Date,r,xs,xb,snom,spe,sspr
11/1/1968,0.001708667,0.053960333,-0.006149667,0.0545,3.052776478,0.0021
12/1/1968,0.002141667,-0.038839667,-0.022295667,0.0596,3.052776478,0.0016
1/1/1969,0.002299667,-0.011827667,0.004154333,0.0614,3.034665029,0.0011
2/1/1969,-0.000518,-0.05874,-0.006108,0.0612,3.034665029,0.0022
3/1/1969,-0.003363333,0.025489333,0.003720333,0.0602,3.034665029,0.0039
4/1/1969,-0.000448333,0.015434333,0.003404333,0.0611,3.034665029,0.0019
5/1/1969,0.002278333,6.66667E-06,-0.013831333,0.0604,3.034665029,0.005
6/1/1969,-0.000128333,-0.072753667,-0.013762667,0.0644,3.034665029,0.0031
7/1/1969,0.000369333,-0.071005333,0.002739667,0.07,3.034665029,1E-04
8/1/1969,0.000381667,0.045673333,-0.007970667,0.0698,3.034665029,0.0005
9/1/1969,0.003205333,-0.028498333,-0.039458333,0.0709,3.034665029,0.0048
10/1/1969,0.000442333,0.049804667,0.032420667,0.07,3.034665029,0.0051
11/1/1969,0.000671333,-0.038197333,-0.012815333,0.0724,3.034665029,0.0029
12/1/1969,0.001183667,-0.026197667,-0.024619667,0.0782,3.034665029,0.0014
1/1/1970,0.003905333,-0.079812333,-0.004528333,0.0787,2.82594788,0.003
2/1/1970,0.000650667,0.050764333,0.040007333,0.0713,2.82594788,0.0069
3/1/1970,0.000262,-0.010254,0.002547,0.0663,2.82594788,0.0058
4/1/1970,-0.002428,-0.110743,-0.031397,0.0651,2.82594788,0.0099
5/1/1970,0.003103,-0.070046,0.005566,0.0684,2.82594788,0.0113
6/1/1970,0.000385667,-0.056641667,0.004400333,0.0668,2.82594788,0.0117
7/1/1970,0.00022,0.068794,0.008309,0.0645,2.82594788,0.0114
8/1/1970,0.005341667,0.044694333,0.006518333,0.0641,2.82594788,0.0116
9/1/1970,-2.8E-05,0.042436,0.010765,0.0612,2.82594788,0.0117
10/1/1970,-0.000177,-0.023133,0.009399,0.0591,2.82594788,0.0121
11/1/1970,-0.000676,0.046048,0.046232,0.0528,2.82594788,0.0119
12/1/1970,-0.000992667,0.056664667,0.000446667,0.0487,2.82594788,0.0108
1/1/1971,0.0037,0.04833,0.014349,0.0444,2.795550498,0.0145
2/1/1971,0.000570333,0.013829667,0.017480667,0.037,2.795550498,0.0186
3/1/1971,0.000310667,0.041961333,0.018809333,0.0338,2.795550498,0.0162
4/1/1971,0.000716667,0.030115333,-0.038471667,0.0386,2.795550498,0.0179
5/1/1971,-0.001538,-0.039859,-0.005841,0.0414,2.795550498,0.0214
6/1/1971,-0.003485667,-0.000839333,-0.022234333,0.0475,2.795550498,0.0178
7/1/1971,0.002037,-0.044783,-0.002157,0.054,2.795550498,0.0145
8/1/1971,0.001659667,0.038394333,0.040631333,0.0494,2.795550498,0.0161
9/1/1971,0.003908333,-0.008924333,0.002422667,0.0469,2.795550498,0.0145
10/1/1971,0.001265667,-0.044398667,0.014732333,0.0446,2.795550498,0.0147
11/1/1971,0.003516667,-0.004778667,-2.86667E-05,0.0422,2.795550498,0.0156
12/1/1971,-0.001548333,0.087915333,0.017452333,0.0401,2.795550498,0.0168
1/1/1972,0.002816667,0.025566333,-0.005956667,0.0338,2.840893929,0.0221
2/1/1972,-0.002199333,0.028682333,0.004847333,0.032,2.840893929,0.0249
3/1/1972,0.000687333,0.005613667,-0.013562333,0.0373,2.840893929,0.0214
4/1/1972,0.000676667,0.002413333,0.011908333,0.0371,2.840893929,0.0246
5/1/1972,0.000665,0.0133,0.007859,0.0369,2.840893929,0.0216
6/1/1972,0.000854333,-0.024154333,-0.007631333,0.0391,2.840893929,0.02
7/1/1972,-0.001479333,-0.007570667,0.002927333,0.0398,2.840893929,0.0199
8/1/1972,0.000963,0.032616,-0.006716,0.0402,2.840893929,0.02
9/1/1972,0.001502333,-0.011554333,0.002399667,0.0466,2.840893929,0.0159
10/1/1972,-0.000801,0.004726,0.000561,0.0474,2.840893929,0.0144
11/1/1972,0.001619333,0.045780667,0.005041667,0.0478,2.840893929,0.0134
12/1/1972,0.001867,0.007018,-0.006129,0.0507,2.840893929,0.0109
1/1/1973,0.002155333,-0.031963333,-0.003916333,0.0541,2.921419462,0.0093
2/1/1973,-0.002375333,-0.049034667,-0.012205667,0.056,2.921419462,0.01
3/1/1973,-0.004249,-0.012926,-0.002668,0.0609,2.921419462,0.0071
4/1/1973,-0.001711333,-0.056975667,0.003699333,0.0626,2.921419462,0.0041
5/1/1973,-0.001581,-0.029803,-0.000547,0.0636,2.921419462,0.0044
6/1/1973,-0.000842333,-0.014638667,-0.006297667,0.0719,2.921419462,-0.005
7/1/1973,0.004413,0.050279,-0.042252,0.0801,2.921419462,-0.0068
8/1/1973,-0.010834,-0.036873,0.026276,0.0867,2.921419462,-0.0104
9/1/1973,0.004691333,0.047028667,0.021764667,0.0829,2.921419462,-0.0124
10/1/1973,-0.002833333,-0.006443667,-0.003746667,0.0722,2.921419462,-0.0045
11/1/1973,-5.4E-05,-0.127228,-0.000316,0.0783,2.921419462,-0.0091
12/1/1973,-0.000327667,0.005216667,-0.003815333,0.0745,2.921419462,-0.0065
1/1/1974,-0.002183,-0.002067,-0.00621,0.0777,2.593307633,-0.0082
2/1/1974,-0.006942667,-0.003581333,-0.002391333,0.0712,2.593307633,-0.003
3/1/1974,-0.006078667,-0.029998333,-0.028161333,0.0796,2.593307633,-0.0065
4/1/1974,0.002757667,-0.052898667,-0.025113667,0.0833,2.593307633,-0.0041
5/1/1974,-0.005641667,-0.048840333,0.009578667,0.0823,2.593307633,-0.0005
6/1/1974,-0.001646667,-0.029525333,-0.015974333,0.079,2.593307633,0.002
7/1/1974,-0.001871333,-0.077170667,-0.004220667,0.0755,2.593307633,0.0083
8/1/1974,-0.004679333,-0.095222667,-0.008647667,0.0896,2.593307633,-0.0033
9/1/1974,-0.005283333,-0.116434667,0.025381333,0.0806,2.593307633,0.0031
10/1/1974,-0.003664333,0.159368333,0.004863333,0.0746,2.593307633,0.0051
11/1/1974,-0.001603,-0.047272,0.016024,0.0747,2.593307633,0.0021
12/1/1974,-0.001808667,-0.032963333,0.011490667,0.0715,2.593307633,0.0016
1/1/1975,0.001362667,0.136383333,0.001357333,0.0626,2.184709998,0.0115
2/1/1975,-0.003094667,0.053827667,0.010151667,0.055,2.184709998,0.0161
3/1/1975,0.000765,0.025616,-0.012963,0.0549,2.184709998,0.0181
