Date,r,xs,xb,snom,spe,sspr,Bearish,Bullish
11/1/2006,0.005603667,0.019588333,0.004457333,0.0494,3.248630288,-0.0036,0.4022,0.4749
12/1/2006,0.002552667,0.006812333,-0.011531667,0.0485,3.248630288,-0.0032,0.46,0.36
1/1/2007,0.001097,0.015254,-0.004913,0.0498,3.274136407,-0.0023,0.3951,0.3333
2/1/2007,-0.001158333,-0.018185667,0.011316333,0.0503,3.274136407,-0.0032,0.5385,0.2231
3/1/2007,-0.004989333,0.008829333,-0.001063667,0.0494,3.274136407,-0.0046,0.4268,0.2561
4/1/2007,-0.002437667,0.035762667,0.000328667,0.0487,3.274136407,-0.0028,0.3924,0.3797
5/1/2007,-0.002169333,0.034990333,-0.015000667,0.0473,3.274136407,-0.0006,0.3333,0.4479
6/1/2007,0.001903667,-0.018595667,-0.003042667,0.0461,3.274136407,0.0042,0.3902,0.3577
7/1/2007,0.004270667,-0.035774667,0.014810333,0.0482,3.274136407,0.0006,0.4421,0.3684
8/1/2007,0.005334,0.008131,0.013903,0.042,3.274136407,0.0023,0.403,0.4627
9/1/2007,0.000485667,0.037607333,0.001052333,0.0389,3.274136407,0.0031,0.4937,0.3418
10/1/2007,0.001111,0.022583,0.004046,0.039,3.274136407,0.003,0.3125,0.4821
11/1/2007,-0.003215,-0.052052,0.034758,0.0327,3.274136407,0.004,0.2857,0.5612
12/1/2007,0.003171,-0.006928,-0.001828,0.03,3.274136407,0.0049,0.3,0.5
1/1/2008,-0.002679333,-0.064438667,0.031659333,0.0275,3.174288766,0.0023,0.3008,0.4887
2/1/2008,-0.001137333,-0.023430667,0.013074333,0.0212,3.174288766,0.0066,0.3431,0.4526
3/1/2008,-0.007618,-0.01147,0.003473,0.0126,3.174288766,0.0122,0.416,0.336
4/1/2008,-0.00499,0.050031,-0.024977,0.0129,3.174288766,0.0155,0.4667,0.275
5/1/2008,-0.006979333,0.022399333,-0.016680667,0.0173,3.174288766,0.0142,0.3136,0.4576
6/1/2008,-0.008527,-0.079983,0.005478,0.0186,3.174288766,0.0163,0.3125,0.5227
7/1/2008,-0.003892667,-0.014686333,0.005890667,0.0163,3.174288766,0.0167,0.4,0.4118
8/1/2008,0.005425333,0.009129667,0.007430667,0.0172,3.174288766,0.0142,0.3068,0.4545
9/1/2008,0.002324667,-0.098948667,0.008257333,0.0113,3.174288766,0.0175,0.3404,0.4574
10/1/2008,0.010659333,-0.185179333,0.010285667,0.0067,3.174288766,0.0206,0.3714,0.4057
11/1/2008,0.019311333,-0.084773333,0.045074667,0.0019,3.174288766,0.021,0.3125,0.4489
12/1/2008,0.010367,0.022123,0.023014,0.0003,3.174288766,0.0149,0.2895,0.4386
1/1/2009,-0.004243667,-0.077432333,-0.016999333,0.0013,2.76893455,0.0147,0.2527,0.4725
2/1/2009,-0.004723,-0.100462,-0.005286,0.003,2.76893455,0.0157,0.243,0.5514
3/1/2009,-0.002257,0.086515,0.018549,0.0021,2.76893455,0.0161,0.3913,0.4239
4/1/2009,-0.002362667,0.109225667,-0.016883333,0.0016,2.76893455,0.017,0.3609,0.4361
5/1/2009,-0.002739,0.067638,-0.013398,0.0018,2.76893455,0.0195,0.4037,0.4862
