Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2005-12-31,0.373,0.2619,0.3651,1.0,0.495,0.0079,0.384907436629,0.48829287048,0.281522002778,1271.83,1256.54,1258.17
2005-11-30,0.5733,0.2667,0.16,1.0,0.4708125,0.4133,0.384907436629,0.48829287048,0.281522002778,1270.64,1259.51,1265.61
2005-10-31,0.3205,0.2179,0.4615,0.9999,0.4115125,-0.141,0.384907436629,0.48829287048,0.281522002778,1204.01,1179.59,1191.38
2005-09-30,0.3188,0.2899,0.3913,1.0,0.377525,-0.0725,0.384907436629,0.48829287048,0.281522002778,1222.56,1211.11,1216.89
2005-08-31,0.3614,0.3253,0.3133,1.0,0.440751,0.0481,0.384907436629,0.48829287048,0.281522002778,1228.96,1214.44,1217.59
2005-07-31,0.5752,0.2484,0.1765,1.0001,0.4826385,0.3987,0.384907436629,0.48829287048,0.281522002778,1238.36,1228.15,1236.79
2005-06-30,0.4589,0.2466,0.2945,1.0,0.435875,0.1644,0.384907436629,0.48829287048,0.281522002778,1204.07,1188.3,1199.85
2005-05-31,0.4414,0.3243,0.2342,0.9999,0.3162,0.2072,0.384907436629,0.48829287048,0.281522002778,1197.44,1185.96,1190.01
2005-04-30,0.2975,0.3554,0.3471,1.0,0.30575,-0.0496,0.384907436629,0.48829287048,0.281522002778,1164.8,1144.42,1156.38
2005-03-31,0.2843,0.2059,0.5098,1.0,0.3565375,-0.2255,0.384907436629,0.48829287048,0.281522002778,1181.54,1163.69,1181.41
2005-02-28,0.3182,0.3636,0.3182,1.0,0.357225,0.0,0.384907436629,0.48829287048,0.281522002778,1202.48,1184.16,1190.8
2005-01-31,0.2643,0.3714,0.3643,1.0,0.4424375,-0.1,0.384907436629,0.48829287048,0.281522002778,1175.96,1163.75,1174.07
2004-12-31,0.5766,0.2482,0.1752,1.0,0.5682625,0.4014,0.384907436629,0.48829287048,0.281522002778,1214.13,1204.92,1213.45
2004-11-30,0.4948,0.2371,0.268,0.9999,0.5245625,0.2268,0.384907436629,0.48829287048,0.281522002778,1182.46,1176.94,1181.76
2004-10-31,0.4231,0.2596,0.3173,1.0,0.4683125,0.1058,0.384907436629,0.48829287048,0.281522002778,1126.29,1090.29,1125.4
2004-09-30,0.4107,0.1964,0.3929,1.0,0.4308875,0.0178,0.384907436629,0.48829287048,0.281522002778,1114.8,1101.29,1114.8
2004-08-31,0.4153,0.3305,0.2542,1.0,0.3976875,0.1611,0.384907436629,0.48829287048,0.281522002778,1106.29,1092.82,1104.96
2004-07-31,0.34,0.3,0.36,1.0,0.4777875,-0.02,0.384907436629,0.48829287048,0.281522002778,1098.84,1078.78,1095.42
2004-06-30,0.5641,0.2051,0.2308,1.0,0.413825,0.3333,0.384907436629,0.48829287048,0.281522002778,1145.15,1124.37,1144.06
2004-05-31,0.3611,0.2361,0.4028,1.0,0.458975,-0.0417,0.384907436629,0.48829287048,0.281522002778,1116.71,1090.74,1114.94
2004-04-30,0.5,0.2879,0.2121,1.0,0.4863375,0.2879,0.384907436629,0.48829287048,0.281522002778,1146.56,1121.7,1122.41
2004-03-31,0.3148,0.2593,0.4259,1.0,0.4553,-0.1111,0.384907436629,0.48829287048,0.281522002778,1109.78,1087.16,1091.33
2004-02-29,0.4158,0.2789,0.3053,1.0,0.5811,0.1105,0.384907436629,0.48829287048,0.281522002778,1146.69,1134.43,1143.67
2004-01-31,0.5688,0.2813,0.15,1.0001,0.6290375,0.4188,0.384907436629,0.48829287048,0.281522002778,1155.38,1126.5,1128.48
2003-12-31,0.6552,0.1724,0.1724,1.0,0.5935875,0.4828,0.384907436629,0.48829287048,0.281522002778,1098.47,1086.14,1095.89
2003-11-30,0.6038,0.1887,0.2075,1.0,0.5662875,0.3963,0.384907436629,0.48829287048,0.281522002778,1060.63,1035.28,1058.2
